draw,ng_cost,h2_end_cost,ccs_end_cost,h2_start_year,scrap_regime,grid_ef_scenario,avg_emi_target,status,obj,lifetime_avg_cost,levelized_avg_cost,lifetime_avg_emis,capture_per_t,cost_2050,emis_2050,f_bof_2050,f_eaf_2050,f_scrap_2050,f_coal_2050,f_ng_2050,f_h2_2050,solve_s
1990,22.142857142857142,3187.5,115.90909090909092,2035,modest,moderate_re,1.8,solved,2053987878378.3818,601.9281100675468,582.8678150660456,1.8010000000000006,0.14796439024719163,635.2482424594731,1.52332925566405,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.51
1991,22.142857142857142,3187.5,125.0,2035,modest,moderate_re,1.8,solved,2056013408027.5034,601.8756990418414,583.44260718306,1.8009999999999997,0.14066375066681397,634.6062461500013,1.5288607412000565,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.778
1992,22.142857142857142,3333.3333333333335,25.0,2035,modest,moderate_re,1.8,solved,2020290990627.3884,603.5417949798328,573.3055233190009,1.8010000000000004,0.25178042193876654,665.6510650162697,1.3186723790559327,0.5862090620090097,0.2492167532142071,0.16457418477678326,0.07564075383873306,0.05910531818189257,0.08954900587216075,0.295
1993,22.142857142857142,3333.3333333333335,34.09090909090909,2035,modest,moderate_re,1.8,solved,2026493772423.7273,604.853826592021,575.0657098863228,1.801,0.2442391531550411,659.9651893172321,1.370365807183228,0.5869727836364862,0.2484530315867306,0.16457418477678326,0.07495340437400425,0.05910531818189257,0.08954900587216075,0.346
1994,22.142857142857142,3333.3333333333335,43.18181818181819,2035,modest,moderate_re,1.8,solved,2031932537449.309,604.5812580466935,576.6090885598237,1.8010000000000004,0.21796440927043345,656.7263028029321,1.397667393132596,0.599675453191846,0.23575036203137084,0.16457418477678326,0.0635210017741804,0.05910531818189257,0.08954900587216075,0.479
1995,22.142857142857142,3333.3333333333335,52.27272727272727,2035,modest,moderate_re,1.8,solved,2036410419289.2402,604.565284402062,577.8797938213489,1.801,0.21055267948697798,652.0333837832906,1.4368718557928606,0.6018460821090423,0.23357973311417426,0.16457418477678326,0.061567435748703485,0.05910531818189257,0.08954900587216075,0.355
1996,22.142857142857142,3333.3333333333335,61.36363636363637,2035,modest,moderate_re,1.8,solved,2040572238710.0483,605.6117866503706,579.0608088692182,1.801000000000001,0.20349496373717926,651.0780219696795,1.444295319850301,0.602992179588768,0.23243363563444858,0.16457418477678326,0.06053594801695046,0.05910531818189257,0.08954900587216075,0.663
1997,22.142857142857142,3333.3333333333335,70.45454545454547,2035,modest,moderate_re,1.8,solved,2044116087954.6226,604.3260163917065,580.0664602111041,1.8010000000000004,0.18867177680717448,643.4203617695883,1.4726814940961552,0.6116285797431421,0.22379723548007469,0.16457418477678326,0.05276318787801383,0.05910531818189257,0.08954900587216075,0.343
1998,22.142857142857142,3333.3333333333335,79.54545454545455,2035,modest,moderate_re,1.8,solved,2047396762250.1372,604.74267459934,580.9974294143301,1.8009999999999997,0.17968778657496198,642.4990889957784,1.4825104346327043,0.6117792943155909,0.22364652090762568,0.16457418477678326,0.0526275447628099,0.05910531818189257,0.08954900587216075,0.312
1999,22.142857142857142,3333.3333333333335,88.63636363636364,2035,modest,moderate_re,1.8,solved,2050195600753.32,603.741040916825,581.791666274365,1.801,0.16832328172735356,643.19212439307,1.4942696303993364,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.43
2000,22.142857142857142,3333.3333333333335,97.72727272727273,2035,modest,moderate_re,1.8,solved,2052839276781.745,604.1325634344031,582.5418720991662,1.8010000000000004,0.1624220238260643,641.0733532839012,1.5000825965828455,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.481
2001,22.142857142857142,3333.3333333333335,106.81818181818183,2035,modest,moderate_re,1.8,solved,2055318848900.4915,603.9333068468592,583.2455095443362,1.801,0.16129003828350316,639.7252365798662,1.5110381373570305,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.483
2002,22.142857142857142,3333.3333333333335,115.90909090909092,2035,modest,moderate_re,1.8,solved,2057479655121.8186,603.3391958314811,583.8586895997124,1.8010000000000006,0.14796439024719163,638.1300679430607,1.52332925566405,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.718
2003,22.142857142857142,3333.3333333333335,125.0,2035,modest,moderate_re,1.8,solved,2059507400807.156,603.287621073892,584.4341105696041,1.8009999999999997,0.14066375066681397,637.4895073233743,1.5288607412000565,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.52
2004,22.142857142857142,3479.166666666667,25.0,2035,modest,moderate_re,1.8,solved,2023703591696.114,604.9216388521489,574.2739298756115,1.8010000000000004,0.25178042193876654,668.4601195993215,1.3186723790559327,0.5862090620090097,0.2492167532142071,0.16457418477678326,0.07564075383873306,0.05910531818189257,0.08954900587216075,0.258
2005,22.142857142857142,3479.166666666667,34.09090909090909,2035,modest,moderate_re,1.8,solved,2029908118022.2295,606.2344144244091,576.0346114946666,1.801,0.2442391531550411,662.7756917892026,1.370365807183228,0.5869727836364862,0.2484530315867306,0.16457418477678326,0.07495340437400425,0.05910531818189257,0.08954900587216075,0.809
2006,22.142857142857142,3479.166666666667,43.18181818181819,2035,modest,moderate_re,1.8,solved,2035380782932.4673,605.9752224154454,577.5876100651047,1.8010000000000004,0.21796440927043345,659.5608874192682,1.397667393132596,0.599675453191846,0.23575036203137084,0.16457418477678326,0.0635210017741804,0.05910531818189257,0.08954900587216075,0.613
2007,22.142857142857142,3479.166666666667,52.27272727272727,2035,modest,moderate_re,1.8,solved,2039864336127.2927,605.9615122444336,578.8599247081996,1.801,0.21055267948697798,654.8720835502822,1.4368718557928606,0.6018460821090423,0.23357973311417426,0.16457418477678326,0.061567435748703485,0.05910531818189257,0.08954900587216075,0.736
2008,22.142857142857142,3479.166666666667,61.36363636363637,2035,modest,moderate_re,1.8,solved,2044029340755.731,607.0092481984269,580.0418436343397,1.801000000000001,0.20349496373717926,653.918894546476,1.444295319850301,0.602992179588768,0.23243363563444858,0.16457418477678326,0.06053594801695046,0.05910531818189257,0.08954900587216075,0.294
2009,22.142857142857142,3479.166666666667,70.45454545454547,2035,modest,moderate_re,1.8,solved,2047596295062.826,605.7325842551996,581.0540515861502,1.8010000000000004,0.18867177680717448,646.2776075216776,1.4726814940961552,0.6116285797431421,0.22379723548007469,0.16457418477678326,0.05276318787801383,0.05910531818189257,0.08954900587216075,0.512
2010,22.142857142857142,3479.166666666667,79.54545454545455,2035,modest,moderate_re,1.8,solved,2050877377572.3386,606.1494032505451,581.9851366297878,1.8009999999999997,0.17968778657496198,645.356620477578,1.4825104346327043,0.6117792943155909,0.22364652090762568,0.16457418477678326,0.0526275447628099,0.05910531818189257,0.08954900587216075,0.913
2011,22.142857142857142,3479.166666666667,88.63636363636364,2035,modest,moderate_re,1.8,solved,2053688180999.4111,605.1526928862536,582.7827688209823,1.801,0.16832328172735356,646.075385566443,1.4942696303993364,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.283
2012,22.142857142857142,3479.166666666667,97.72727272727273,2035,modest,moderate_re,1.8,solved,2056331857027.8357,605.5442154038318,583.5329746457834,1.8010000000000004,0.1624220238260643,643.9566144572741,1.5000825965828455,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.397
2013,22.142857142857142,3479.166666666667,106.81818181818183,2035,modest,moderate_re,1.8,solved,2058811054328.876,605.4397225552528,584.2365057275324,1.8010000000000006,0.16206490666432094,642.6710262067562,1.510798706687216,0.6250040203778474,0.21042179484536938,0.16457418477678326,0.04072529130677909,0.05910531818189257,0.08954900587216075,0.268
2014,22.142857142857142,3479.166666666667,115.90909090909092,2035,modest,moderate_re,1.8,solved,2060971431865.2551,604.7502815954153,584.8495641333791,1.8010000000000006,0.14796439024719163,641.0118934266484,1.52332925566405,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.677
2015,22.142857142857142,3479.166666666667,125.0,2035,modest,moderate_re,1.8,solved,2063001393586.8098,604.6995431059427,585.4256139561485,1.8009999999999997,0.14066375066681397,640.3727684967472,1.5288607412000565,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.675
2016,22.142857142857142,3625.0,25.0,2035,modest,moderate_re,1.8,solved,2027116192764.8396,606.3014827244649,575.242336432222,1.8010000000000004,0.25178042193876654,671.2691741823734,1.3186723790559327,0.5862090620090097,0.2492167532142071,0.16457418477678326,0.07564075383873306,0.05910531818189257,0.08954900587216075,0.504
2017,22.142857142857142,3625.0,34.09090909090909,2035,modest,moderate_re,1.8,solved,2033322463620.7322,607.6150022567969,577.0035131030104,1.801,0.2442391531550411,665.5861942611731,1.370365807183228,0.5869727836364862,0.2484530315867306,0.16457418477678326,0.07495340437400425,0.05910531818189257,0.08954900587216075,0.275
2018,22.142857142857142,3625.0,43.18181818181819,2035,modest,moderate_re,1.8,solved,2038829028415.6243,607.3691867841968,578.5661315703853,1.8010000000000004,0.21796440927043345,662.395472035604,1.397667393132596,0.599675453191846,0.23575036203137084,0.16457418477678326,0.0635210017741804,0.05910531818189257,0.08954900587216075,0.603
2019,22.142857142857142,3625.0,52.27272727272727,2035,modest,moderate_re,1.8,solved,2043318252965.3445,607.3577400868053,579.8400555950501,1.801,0.21055267948697798,657.7107833172737,1.4368718557928606,0.6018460821090423,0.23357973311417426,0.16457418477678326,0.061567435748703485,0.05910531818189257,0.08954900587216075,0.68
2020,22.142857142857142,3625.0,61.36363636363637,2035,modest,moderate_re,1.8,solved,2047486442801.4138,608.4067097464833,581.0228783994613,1.801000000000001,0.20349496373717926,656.7597671232729,1.444295319850301,0.602992179588768,0.23243363563444858,0.16457418477678326,0.06053594801695046,0.05910531818189257,0.08954900587216075,0.37
2021,22.142857142857142,3625.0,70.45454545454547,2035,modest,moderate_re,1.8,solved,2051076502171.0288,607.139152118693,582.0416429611962,1.8010000000000004,0.18867177680717448,649.1348532737671,1.4726814940961552,0.6116285797431421,0.22379723548007469,0.16457418477678326,0.05276318787801383,0.05910531818189257,0.08954900587216075,1.216
2022,22.142857142857142,3625.0,79.54545454545455,2035,modest,moderate_re,1.8,solved,2054357992894.5408,607.5561319017502,582.9728438452456,1.8009999999999997,0.17968778657496198,648.2141519593777,1.4825104346327043,0.6117792943155909,0.22364652090762568,0.16457418477678326,0.0526275447628099,0.05910531818189257,0.08954900587216075,0.68
2023,22.142857142857142,3625.0,88.63636363636364,2035,modest,moderate_re,1.8,solved,2057180761245.5017,606.5643448556822,583.7738713675994,1.801,0.16832328172735356,648.9586467398159,1.4942696303993364,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.596
2024,22.142857142857142,3625.0,97.72727272727273,2035,modest,moderate_re,1.8,solved,2059824437273.926,606.9558673732604,584.5240771924005,1.8010000000000004,0.1624220238260643,646.8398756306473,1.5000825965828455,0.6253509997608463,0.21007481546237028,0.16457418477678326,0.04041300986207995,0.05910531818189257,0.08954900587216075,0.504
2025,22.142857142857142,3625.0,106.81818181818183,2035,modest,moderate_re,1.8,solved,2062302732111.3428,606.851009047305,585.227352178675,1.8010000000000006,0.16206490666432094,645.5536295650487,1.510798706687216,0.6250040203778474,0.21042179484536938,0.16457418477678326,0.04072529130677909,0.05910531818189257,0.08954900587216075,0.896
2026,22.142857142857142,3625.0,115.90909090909092,2035,modest,moderate_re,1.8,solved,2064463208608.6914,606.1613673593492,585.8404386670458,1.8010000000000006,0.14796439024719163,643.8937189102359,1.52332925566405,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.715
2027,22.142857142857142,3625.0,125.0,2035,modest,moderate_re,1.8,solved,2066493310662.0117,606.2816109589551,586.4165283122846,1.8010000000000004,0.14195935771596102,643.3440333851391,1.528665926072015,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.274
